Workshop Name,Workshop Rating,Professor Name,Student ID,Workshop Topic,Workshop Date,Duration,Location,Max Capacity,Registration Fee,Prerequisite,Feedback Comments,Technology Used,Workshop Type,Certificate,Student Major,Student Year,Attendance
Machine Learning: Unleash Wireless Architectures,8.1,Olivia Williams,S4094,Deep Learning,2023-05-02,2.661887330728561,Room 101,63,48,Beginner,Down peace enjoy investment garden receive rise.,Jupyter,Discussion,No,Data Science,Senior,62
Deep Learning: Redefine Back-End Schemas,5.7,Olivia Miller,S1127,Deep Learning,2023-01-05,2.583867322218902,Room 104,63,29,Beginner,Town ask girl collection.,Zoom,Lecture,Yes,Mathematics,Sophomore,34
Data Science: Disintermediate Bricks-And-Clicks Mindshare,8.1,Michael Williams,S7593,AI Ethics,2022-11-13,2.9863464810741425,Room 105,22,12,Advanced,Especially discover he right top natural.,Teams,Discussion,Yes,Data Science,Sophomore,11
Statistical Analysis: Deliver Visionary E-Markets,5.1,Robert Jones,S3603,Statistical Analysis,2023-07-05,1.9885841234897006,Online-Teams,92,46,Advanced,Property worker give fill school.,Zoom,Discussion,No,Computer Science,Freshman,91
Deep Learning: Architect Extensible Synergies,6.3,John Smith,S2789,Data Science,2023-02-20,1.0095706464845453,Online-Teams,56,74,Intermediate,Mr cut remember soldier tend paper party.,Teams,Discussion,No,Engineering,Freshman,46
Deep Learning: Iterate Next-Generation Applications,8.3,Emma Johnson,S7617,Machine Learning,2023-06-26,2.817417287520019,Room 104,34,33,Intermediate,Table truth career see.,Teams,Hands-On,Yes,Statistics,Junior,25
Statistical Analysis: Re-Intermediate Integrated Methodologies,6.7,Emma Johnson,S5794,Cloud Computing,2023-01-09,1.3839510329068057,Room 105,73,40,Intermediate,Pay start bank dark group.,Jupyter,Hands-On,Yes,Data Science,Junior,38
Data Visualization: Synthesize Scalable Solutions,6.5,Michael Jones,S7079,Cloud Computing,2022-11-25,1.3232321584486186,Room 102,24,62,Advanced,Black eat sea guess.,Jupyter,Lecture,No,Data Science,Junior,14
Machine Learning: Expedite World-Class Networks,8.4,Emily Johnson,S8572,Machine Learning,2023-08-28,1.1516291033574044,Room 105,40,0,Advanced,Season perhaps trade kitchen allow seat about.,Jupyter,Lecture,No,Engineering,Sophomore,21
Statistical Analysis: Engage Bricks-And-Clicks E-Services,8.9,Robert Miller,S3432,AI Ethics,2022-12-01,2.370526724821734,Room 103,23,43,Beginner,Poor view those study.,Google Colab,Lecture,Yes,Computer Science,Freshman,14
Deep Learning: Benchmark Impactful Technologies,7.5,John Brown,S1760,Python Programming,2023-02-08,2.6295893955927614,Room 105,41,73,Advanced,Economy by east choose detail return.,Teams,Hands-On,No,Data Science,Junior,37
Data Science: Disintermediate 24/7 Partnerships,6.4,Michael Miller,S6100,Machine Learning,2022-11-26,1.172464928472921,Room 102,55,7,Advanced,Only herself once deal exist blue hit.,Zoom,Discussion,Yes,Mathematics,Sophomore,38
Ai Ethics: Synthesize B2C Roi,6.5,John Johnson,S1166,Deep Learning,2023-05-08,1.3946762161310233,Room 101,80,13,Advanced,Face help each very government protect without use.,Zoom,Hands-On,No,Engineering,Freshman,42
Machine Learning: Integrate Leading-Edge Functionalities,5.8,Michael Williams,S3115,AI Ethics,2023-05-06,1.086744474072056,Room 101,31,70,Beginner,Provide local every scientist various.,Jupyter,Lecture,Yes,Engineering,Sophomore,24
Statistical Analysis: Generate Magnetic Markets,9.7,John Miller,S3441,Statistical Analysis,2023-02-17,2.047605818246991,Room 104,49,41,Intermediate,Machine business model I important whose.,Google Colab,Hands-On,Yes,Computer Science,Junior,41
Deep Learning: Engineer Killer Roi,5.1,Robert Wilson,S8634,Data Visualization,2023-08-16,2.8051217134440667,Room 105,95,4,Intermediate,Treatment call enough season away clearly.,Teams,Lecture,No,Data Science,Freshman,51
Ai Ethics: Repurpose Proactive Niches,9.1,Emma Smith,S6849,Python Programming,2023-03-20,2.5124810584407893,Room 101,25,65,Beginner,Be get drug quickly either skin.,Zoom,Lecture,No,Statistics,Sophomore,15
Data Science: Brand Enterprise Info-Mediaries,9.1,David Brown,S2049,Statistical Analysis,2023-01-09,1.0883524993541374,Room 104,78,75,Advanced,Fly party fight expect task also line.,Jupyter,Lecture,No,Computer Science,Senior,61
Statistical Analysis: E-Enable Global Content,8.8,Michael Wilson,S8387,AI Ethics,2023-07-05,2.5485601666396382,Room 101,93,53,Beginner,Use off unit develop standard will ready.,Zoom,Lecture,No,Data Science,Junior,83
Deep Learning: E-Enable Clicks-And-Mortar Networks,8.2,Michael Wilson,S6622,Data Visualization,2023-04-10,2.960152259281085,Online-Teams,14,0,Beginner,Sign cultural present say design beautiful education.,Jupyter,Lecture,Yes,Data Science,Senior,14
Cloud Computing: Facilitate Revolutionary Relationships,6.9,Emma Williams,S7235,Data Visualization,2022-12-05,1.0299517273888312,Room 104,32,42,Intermediate,Really important man course personal mind nature.,Teams,Hands-On,Yes,Engineering,Sophomore,27
Deep Learning: Unleash Back-End Web Services,9.0,Michael Williams,S2730,Data Visualization,2023-06-22,2.725363129269325,Online-Teams,73,28,Beginner,Environment maybe community hospital save free down.,Jupyter,Hands-On,No,Mathematics,Senior,67
Statistical Analysis: Redefine Cross-Media Interfaces,8.3,Michael Davis,S8771,Data Science,2022-12-02,1.9123894655663847,Online-Teams,72,34,Advanced,Ever data last return.,Google Colab,Lecture,No,Mathematics,Freshman,41
Python Programming: Integrate Granular E-Commerce,6.2,John Williams,S8986,Python Programming,2023-09-06,1.1532658504509588,Room 104,79,56,Advanced,Machine individual collection event thousand set age hospital.,Zoom,Discussion,No,Data Science,Freshman,73
Python Programming: Scale Synergistic Architectures,8.2,Emily Davis,S8544,AI Ethics,2023-07-17,2.1308716347787064,Room 103,47,12,Advanced,Bar son far environmental.,Google Colab,Discussion,Yes,Engineering,Sophomore,39
Ai Ethics: Integrate Customized Relationships,6.9,Lisa Wilson,S5464,Deep Learning,2023-05-07,2.3875410429932105,Room 105,61,39,Intermediate,Police position drug scene.,Zoom,Lecture,Yes,Computer Science,Freshman,37
Cloud Computing: Facilitate Robust Supply-Chains,7.6,Olivia Brown,S3599,AI Ethics,2022-11-25,2.3326992732848817,Room 105,68,44,Beginner,Run seek treat painting.,Jupyter,Lecture,No,Computer Science,Junior,34
Python Programming: Morph One-To-One Models,6.5,Robert Smith,S5558,Data Visualization,2023-10-08,1.6975962411103234,Room 102,78,96,Beginner,Onto executive time offer movie.,Jupyter,Discussion,No,Mathematics,Junior,77
Cloud Computing: Re-Contextualize Efficient Roi,8.0,Lisa Williams,S9266,AI Ethics,2022-12-01,2.0042399390567036,Room 101,64,73,Intermediate,Make need purpose will create crime.,Zoom,Lecture,No,Data Science,Junior,49
Machine Learning: Transform B2B E-Services,6.7,Emily Davis,S2991,Data Science,2023-08-25,2.361057922272899,Room 104,69,65,Beginner,During what same everybody system.,Zoom,Lecture,Yes,Data Science,Senior,35
Data Visualization: Mesh Cross-Media Interfaces,5.6,Emma Brown,S3824,Cloud Computing,2022-12-20,2.2735909027866974,Online-Teams,36,21,Advanced,Arm her interview camera president wife.,Zoom,Discussion,Yes,Data Science,Freshman,24
Cloud Computing: Scale Global Initiatives,6.0,Emily Brown,S8895,Statistical Analysis,2023-02-13,2.412528193666158,Room 103,74,38,Intermediate,In focus different economic age sit.,Zoom,Lecture,No,Statistics,Freshman,49
Statistical Analysis: Engineer Proactive Roi,6.8,David Smith,S7728,Data Science,2023-06-01,1.363118712477723,Room 102,64,1,Intermediate,Effect talk film yourself appear thank.,Zoom,Hands-On,Yes,Statistics,Junior,36
Statistical Analysis: Transition Extensible Channels,5.1,Robert Wilson,S4299,Deep Learning,2023-09-20,1.721606126914186,Room 104,25,35,Beginner,Similar can team rise his general ago.,Zoom,Discussion,No,Engineering,Senior,14
Data Visualization: Incubate Visionary Supply-Chains,7.5,David Miller,S2093,Deep Learning,2023-03-16,2.681865618308149,Room 101,40,50,Beginner,Must stop decision however.,Google Colab,Hands-On,No,Engineering,Sophomore,34
Ai Ethics: Reinvent Efficient Relationships,9.6,Robert Brown,S5245,Data Science,2023-01-28,1.1903530845878811,Online-Teams,88,60,Intermediate,Always send fact challenge argue enough.,Zoom,Lecture,No,Statistics,Senior,77
Deep Learning: Unleash Viral Paradigms,6.4,Emma Wilson,S3350,AI Ethics,2022-10-12,1.1911172703522244,Room 104,59,1,Intermediate,Various beat might staff hand finally voice brother.,Google Colab,Discussion,Yes,Data Science,Junior,43
Deep Learning: Utilize Bricks-And-Clicks Supply-Chains,5.1,Robert Smith,S3717,Data Science,2023-02-27,2.7821848027038785,Room 101,89,86,Advanced,Yard result no fact including.,Zoom,Lecture,Yes,Computer Science,Sophomore,81
Machine Learning: Transition Bleeding-Edge Action-Items,9.8,Olivia Wilson,S7780,AI Ethics,2023-05-19,1.073547777477023,Room 104,34,59,Advanced,Energy stock field address poor.,Jupyter,Lecture,No,Data Science,Sophomore,29
Ai Ethics: Re-Intermediate E-Business Relationships,5.3,Emily Miller,S2786,Machine Learning,2023-02-13,2.8164457979105118,Room 104,83,2,Advanced,Have total light minute career economy forget community.,Zoom,Lecture,No,Statistics,Sophomore,46
Ai Ethics: Cultivate Real-Time Schemas,7.1,Olivia Smith,S9160,Machine Learning,2022-11-20,1.9836755312617786,Room 104,93,12,Intermediate,Television else may office those may response.,Jupyter,Discussion,Yes,Engineering,Junior,85
Python Programming: Enable Value-Added Technologies,6.4,John Smith,S6035,Cloud Computing,2023-05-05,1.902349209969077,Online-Zoom,70,92,Advanced,Decision should true other imagine.,Google Colab,Lecture,Yes,Statistics,Sophomore,68
Ai Ethics: Transform Frictionless Markets,5.4,Olivia Williams,S7082,Cloud Computing,2023-02-04,1.4546664220155676,Room 101,34,52,Advanced,Rule head continue record.,Jupyter,Lecture,No,Engineering,Junior,31
Ai Ethics: Cultivate Value-Added Infrastructures,6.6,Robert Smith,S5742,AI Ethics,2022-10-13,1.2058599762463473,Room 102,84,36,Intermediate,Goal business wrong rather eat result player.,Teams,Discussion,Yes,Computer Science,Junior,58
Cloud Computing: Streamline Vertical Convergence,5.9,Emily Johnson,S9579,Python Programming,2023-04-18,1.2073178427609577,Room 102,86,13,Intermediate,Ball threat entire yourself when.,Teams,Lecture,Yes,Statistics,Senior,49
Deep Learning: Facilitate E-Business Systems,9.7,Robert Johnson,S8791,Python Programming,2023-04-27,2.5841373979140503,Room 101,33,40,Beginner,Pattern range improve enjoy.,Jupyter,Hands-On,Yes,Data Science,Junior,31
Machine Learning: Utilize B2C Experiences,5.6,John Williams,S2923,Cloud Computing,2022-10-16,2.210235209922484,Room 102,47,44,Intermediate,Necessary lead oil.,Zoom,Hands-On,No,Statistics,Senior,26
Cloud Computing: Synergize Innovative Content,5.2,Robert Smith,S7638,Cloud Computing,2023-03-24,1.877462776102306,Room 103,11,67,Beginner,Until young market position power agency support.,Zoom,Lecture,Yes,Engineering,Junior,8
Ai Ethics: Streamline Mission-Critical E-Tailers,8.7,John Smith,S3174,Statistical Analysis,2023-08-30,2.870001954321254,Room 103,38,48,Beginner,Interest do person where may ahead.,Zoom,Lecture,No,Mathematics,Freshman,22
Statistical Analysis: Transform Virtual E-Markets,5.4,Olivia Brown,S1051,Data Visualization,2023-01-03,2.9443138797528245,Room 103,10,54,Advanced,Enough conference public inside notice face serve.,Jupyter,Lecture,Yes,Computer Science,Senior,7
Deep Learning: Incentivize Plug-And-Play Action-Items,8.6,David Brown,S1234,Deep Learning,2023-09-30,1.1382610451128639,Room 102,76,66,Beginner,Doctor another military free more man.,Jupyter,Hands-On,Yes,Data Science,Junior,40
Statistical Analysis: Orchestrate Sticky Schemas,8.1,Robert Davis,S6883,Cloud Computing,2023-04-26,2.7341190335202965,Room 102,17,55,Intermediate,Among hope by product bad walk.,Teams,Hands-On,No,Mathematics,Freshman,9
Ai Ethics: Maximize Viral Supply-Chains,9.8,Emily Johnson,S1421,Data Science,2023-06-10,1.5662219853046104,Online-Teams,34,38,Advanced,Could true tax positive entire.,Google Colab,Discussion,No,Computer Science,Senior,34
Deep Learning: Reinvent Collaborative Deliverables,8.8,Emily Johnson,S9521,Machine Learning,2022-12-27,1.5407473452047933,Room 103,91,89,Intermediate,Century positive how simple enjoy do college.,Zoom,Lecture,Yes,Engineering,Junior,83
Machine Learning: Scale Next-Generation Mindshare,9.1,Emma Wilson,S8151,AI Ethics,2023-06-17,2.431224517835137,Room 105,31,54,Advanced,Moment third investment red young message audience.,Zoom,Discussion,Yes,Mathematics,Sophomore,27
Python Programming: Generate Bleeding-Edge E-Business,8.8,Emma Davis,S7156,AI Ethics,2023-08-23,1.8939363828249152,Room 105,32,85,Beginner,Know avoid talk from move gas lose.,Zoom,Hands-On,Yes,Statistics,Senior,16
Python Programming: Matrix Proactive Initiatives,7.4,Emma Williams,S4972,Data Science,2023-04-14,1.1390203930449834,Room 102,18,0,Beginner,Voice prove card commercial term poor.,Zoom,Hands-On,Yes,Statistics,Sophomore,11
Machine Learning: Productize Magnetic Info-Mediaries,9.9,Emma Johnson,S9969,Python Programming,2023-06-08,2.19525901091714,Online-Zoom,29,13,Advanced,Up president economy interview miss now professional.,Zoom,Discussion,No,Statistics,Junior,14
Python Programming: Maximize Viral Markets,8.6,David Davis,S7306,Cloud Computing,2023-03-15,2.041288710267235,Room 101,59,94,Intermediate,Step stock finish return.,Teams,Hands-On,No,Computer Science,Junior,46
Deep Learning: Morph Wireless Supply-Chains,8.0,John Johnson,S2820,Deep Learning,2023-01-26,1.8117288658507886,Online-Teams,93,91,Intermediate,Focus have third few different important.,Jupyter,Lecture,Yes,Engineering,Sophomore,47
Cloud Computing: Monetize 24/365 Functionalities,5.4,Robert Johnson,S4900,Cloud Computing,2023-04-17,2.412446130270476,Room 101,90,72,Intermediate,Fall interest land find.,Zoom,Hands-On,No,Engineering,Senior,64
Python Programming: Evolve End-To-End Users,9.3,Lisa Miller,S2308,Python Programming,2023-07-19,1.7828097425141949,Online-Zoom,62,54,Beginner,Nation administration do in.,Jupyter,Discussion,No,Statistics,Sophomore,58
Ai Ethics: Generate Cross-Media Solutions,7.2,David Brown,S9819,Statistical Analysis,2023-08-02,1.8749417077641135,Room 103,57,70,Advanced,Stage prevent carry ground increase attorney.,Jupyter,Lecture,Yes,Engineering,Senior,42
Data Visualization: Orchestrate Transparent Schemas,8.8,Emily Jones,S6059,Python Programming,2023-09-11,1.0988463207911756,Room 102,36,94,Beginner,Actually bag person every Democrat never way.,Teams,Hands-On,Yes,Statistics,Freshman,32
Deep Learning: Deliver Extensible Platforms,7.6,Olivia Smith,S8131,Data Visualization,2022-12-01,2.5000344325236963,Online-Teams,11,1,Advanced,Safe book minute finally low feeling.,Teams,Discussion,No,Engineering,Sophomore,5
Python Programming: Incentivize Granular Interfaces,7.1,Michael Miller,S4214,Deep Learning,2023-02-11,2.135572207703058,Online-Teams,71,33,Advanced,Dream street occur traditional technology free.,Jupyter,Lecture,Yes,Mathematics,Junior,55
Data Visualization: Generate Compelling Technologies,6.5,Michael Brown,S5840,Data Science,2023-09-29,1.028856777902799,Room 101,93,29,Advanced,Ground recognize chair large area bag produce opportunity.,Jupyter,Lecture,No,Data Science,Junior,82
Data Science: Transition Turn-Key Action-Items,7.6,Emily Wilson,S5522,Data Science,2023-09-15,1.0967137121024435,Room 105,44,8,Advanced,Nor what give box along arm something back.,Jupyter,Lecture,Yes,Engineering,Freshman,32
Cloud Computing: Re-Intermediate 24/365 Functionalities,7.6,Olivia Miller,S9879,Machine Learning,2023-07-12,1.9499525132967537,Online-Teams,84,31,Advanced,Call try commercial outside happy heart though.,Zoom,Lecture,Yes,Data Science,Junior,75
Machine Learning: Streamline Value-Added Supply-Chains,8.2,Robert Jones,S1571,Deep Learning,2023-08-17,1.4364039141954954,Room 103,32,38,Advanced,Small before take range.,Teams,Lecture,Yes,Computer Science,Sophomore,29
Data Science: Enable Wireless Convergence,9.3,Robert Miller,S3367,Data Visualization,2023-06-24,1.2809490804492885,Room 105,91,37,Beginner,Education hear program population military.,Google Colab,Hands-On,No,Mathematics,Junior,60
Cloud Computing: Evolve Cutting-Edge Portals,8.2,Michael Miller,S4038,Python Programming,2022-12-24,1.6077860352488313,Room 104,34,12,Advanced,Sit suffer avoid number.,Jupyter,Hands-On,Yes,Engineering,Junior,24
Data Science: Productize Synergistic Channels,5.0,Michael Brown,S1911,Deep Learning,2023-06-23,2.5805981820625723,Room 103,42,77,Beginner,Free control get then.,Google Colab,Lecture,No,Engineering,Sophomore,38
Deep Learning: Maximize Cross-Media Deliverables,7.6,Lisa Johnson,S3333,Machine Learning,2022-11-04,2.433462445124871,Room 105,19,47,Beginner,After base itself.,Jupyter,Lecture,Yes,Computer Science,Senior,16
Ai Ethics: Optimize Strategic Interfaces,6.3,David Jones,S2180,Cloud Computing,2023-06-24,2.9219230685274646,Room 104,26,67,Beginner,Have camera management nor maybe any evening.,Zoom,Hands-On,No,Mathematics,Freshman,19
Data Visualization: Iterate Rich Web-Readiness,8.3,Olivia Davis,S4664,Machine Learning,2023-05-08,1.913320850325981,Room 102,56,85,Advanced,Plan both run career share light concern.,Jupyter,Hands-On,No,Mathematics,Sophomore,49
Machine Learning: Cultivate 24/7 Channels,8.0,Lisa Williams,S9251,Cloud Computing,2023-03-09,1.42070494838559,Online-Zoom,98,94,Beginner,Pattern sing consumer artist.,Jupyter,Hands-On,No,Mathematics,Junior,71
Python Programming: Integrate One-To-One Schemas,7.0,Emily Williams,S2739,AI Ethics,2023-02-24,1.127917440019689,Room 102,93,19,Intermediate,Direction mean together case serious after more.,Google Colab,Discussion,No,Engineering,Junior,82
Data Science: Morph Vertical Bandwidth,9.5,John Brown,S9790,Statistical Analysis,2023-08-04,2.9013102191728892,Room 105,28,47,Beginner,Necessary discussion land top grow subject.,Jupyter,Discussion,Yes,Computer Science,Freshman,22
Cloud Computing: Cultivate Out-Of-The-Box Schemas,9.7,Robert Brown,S1075,Python Programming,2023-05-04,1.1549601531555307,Room 103,71,93,Advanced,Institution I late recently population.,Google Colab,Discussion,Yes,Data Science,Junior,69
Machine Learning: Enhance Robust Metrics,5.6,John Jones,S6152,Cloud Computing,2023-04-05,1.3810661104593303,Room 103,97,67,Beginner,None pattern heart security.,Zoom,Lecture,No,Engineering,Junior,97
Python Programming: Productize Cutting-Edge Interfaces,9.1,Michael Smith,S3771,Deep Learning,2022-10-22,1.5142085852675475,Online-Zoom,38,46,Advanced,Cell nearly live amount report trial approach.,Google Colab,Discussion,No,Mathematics,Senior,30
Statistical Analysis: Engage Cross-Platform Paradigms,5.1,Michael Miller,S1660,Deep Learning,2023-09-29,1.6493845899350454,Room 103,22,19,Beginner,Marriage two expect player interview wind sell.,Google Colab,Lecture,Yes,Data Science,Senior,11
Machine Learning: Repurpose Cross-Platform Convergence,5.5,Robert Williams,S7317,AI Ethics,2023-08-20,2.1878284468858418,Room 105,30,48,Advanced,Town data window more usually call PM.,Teams,Hands-On,No,Computer Science,Junior,15
Deep Learning: Synthesize Integrated Web Services,7.6,Michael Wilson,S6163,Machine Learning,2022-10-20,2.379073228428898,Online-Zoom,68,46,Advanced,Base something challenge manage sea record important.,Jupyter,Lecture,Yes,Data Science,Freshman,53
Ai Ethics: Utilize Cutting-Edge Synergies,8.1,Robert Brown,S4328,AI Ethics,2023-06-09,1.491821613998099,Online-Teams,71,53,Intermediate,Few subject not allow after organization.,Zoom,Lecture,No,Data Science,Junior,41
Deep Learning: Transform Bricks-And-Clicks Metrics,5.3,Emma Smith,S7693,Cloud Computing,2023-05-22,1.0636665290405036,Room 103,62,79,Advanced,Piece issue painting sound maybe evidence somebody town.,Jupyter,Hands-On,Yes,Computer Science,Junior,37
Python Programming: Empower Robust Platforms,9.3,John Jones,S2900,Deep Learning,2023-03-07,2.141126414467016,Room 101,61,21,Intermediate,Second budget strategy person.,Zoom,Lecture,Yes,Computer Science,Sophomore,61
Data Visualization: Engineer Turn-Key Web Services,9.1,David Davis,S4588,Deep Learning,2023-01-09,1.779923391064672,Online-Teams,80,95,Beginner,During shake including person.,Teams,Discussion,No,Statistics,Senior,78
Machine Learning: Enable Next-Generation Architectures,5.3,Lisa Brown,S2176,AI Ethics,2022-11-10,1.8911205716695827,Room 103,64,100,Advanced,Head want each either bag.,Jupyter,Discussion,Yes,Statistics,Junior,53
Machine Learning: Implement Turn-Key Infrastructures,9.8,John Jones,S4940,Cloud Computing,2023-02-22,1.0383517627073142,Room 102,43,80,Intermediate,Old improve style debate prove join.,Jupyter,Hands-On,Yes,Statistics,Sophomore,37
Python Programming: Innovate Innovative Relationships,7.0,Emma Williams,S5498,Data Science,2022-11-13,2.8888263985305187,Room 105,19,13,Beginner,Out long blue.,Google Colab,Lecture,Yes,Computer Science,Freshman,16
Cloud Computing: Generate Cross-Platform Relationships,8.5,Lisa Williams,S3504,Statistical Analysis,2023-03-09,2.393168032019046,Online-Teams,79,5,Beginner,Stay consider state say decade.,Teams,Discussion,Yes,Statistics,Sophomore,75
Deep Learning: Morph Customized Metrics,5.3,John Brown,S3919,AI Ethics,2023-06-02,2.0296680689212767,Room 103,73,80,Beginner,Red campaign spring industry lose.,Teams,Lecture,Yes,Engineering,Sophomore,63
Machine Learning: Aggregate Best-Of-Breed E-Services,5.6,Lisa Wilson,S8174,Deep Learning,2022-11-15,2.7319732207583955,Room 105,81,95,Intermediate,Expert culture wear raise production father left.,Google Colab,Lecture,Yes,Mathematics,Sophomore,74
Machine Learning: Strategize Bleeding-Edge Action-Items,7.0,John Jones,S3297,AI Ethics,2023-10-05,2.2003074942459095,Room 104,99,25,Beginner,Tv return wind prove everything her.,Jupyter,Discussion,Yes,Data Science,Freshman,89
Deep Learning: Syndicate Synergistic Eyeballs,6.6,Olivia Jones,S4423,AI Ethics,2023-02-22,2.2412170417551605,Room 104,70,11,Advanced,Many travel benefit.,Google Colab,Lecture,No,Data Science,Junior,62
Data Science: Iterate End-To-End E-Business,5.6,Olivia Miller,S9594,Deep Learning,2023-02-21,2.0412597730461095,Online-Zoom,65,6,Intermediate,Friend nature administration.,Zoom,Lecture,Yes,Mathematics,Junior,46
Python Programming: Deploy Cross-Platform Info-Mediaries,8.3,John Miller,S3340,Statistical Analysis,2023-08-27,2.450214168274808,Online-Teams,33,73,Beginner,Thought civil stuff onto.,Teams,Hands-On,No,Data Science,Sophomore,23
Machine Learning: Seize Ubiquitous Technologies,5.3,Emma Jones,S4953,AI Ethics,2023-09-01,1.754241614297279,Online-Teams,51,64,Beginner,Question administration others executive.,Zoom,Discussion,No,Mathematics,Senior,45
Data Visualization: Benchmark Compelling Synergies,7.1,David Davis,S2137,Data Visualization,2023-06-27,2.5781705887887068,Room 102,17,1,Intermediate,Pm role usually anything name address.,Zoom,Lecture,No,Computer Science,Sophomore,15
Data Science: Transition Visionary Networks,8.2,Lisa Davis,S4988,Data Science,2023-05-20,1.9760579180095723,Room 104,71,17,Intermediate,Manage or popular treat particular base.,Teams,Discussion,No,Engineering,Freshman,40
Ai Ethics: Enable Ubiquitous Infrastructures,10.0,Michael Wilson,S1660,Data Visualization,2023-06-06,2.010310700028917,Room 101,43,60,Advanced,Financial include life democratic defense consumer.,Jupyter,Hands-On,Yes,Computer Science,Sophomore,37
Ai Ethics: Embrace 24/7 Markets,6.8,Emily Miller,S2144,AI Ethics,2023-07-25,1.1938184543010406,Room 101,36,16,Beginner,Know it near free able for word.,Jupyter,Hands-On,No,Statistics,Freshman,36
Python Programming: Syndicate Cross-Media Networks,9.6,John Smith,S2221,AI Ethics,2023-06-06,2.662743630203572,Online-Teams,73,12,Beginner,Lawyer nature the hot.,Teams,Lecture,Yes,Data Science,Sophomore,37
Data Visualization: Orchestrate One-To-One Web-Readiness,5.8,Lisa Wilson,S3635,Cloud Computing,2023-10-01,2.4684312923697567,Room 101,74,21,Intermediate,Capital up cut other.,Jupyter,Lecture,No,Mathematics,Junior,67
Deep Learning: Enhance Killer Synergies,5.8,Robert Davis,S6797,AI Ethics,2023-03-20,2.019054066423882,Online-Teams,87,81,Beginner,Explain six training away nor arrive senior.,Jupyter,Hands-On,Yes,Mathematics,Senior,76
Deep Learning: Redefine Holistic Relationships,9.6,Lisa Davis,S7020,AI Ethics,2022-10-18,2.2241975228492694,Online-Zoom,82,20,Intermediate,Policy blood image appear them kind.,Jupyter,Hands-On,Yes,Computer Science,Sophomore,65
Deep Learning: Implement Viral Communities,9.0,John Davis,S6431,Data Science,2022-11-17,1.7079212014776342,Online-Teams,57,3,Beginner,Happy protect dinner understand operation.,Jupyter,Discussion,Yes,Mathematics,Junior,55
Statistical Analysis: Streamline Integrated E-Services,9.9,David Smith,S3461,Cloud Computing,2023-08-22,1.8452835007800772,Room 105,19,52,Advanced,Over ever early kitchen.,Google Colab,Lecture,Yes,Computer Science,Junior,12
Data Visualization: Incentivize Bricks-And-Clicks Action-Items,7.0,Emily Miller,S4519,Statistical Analysis,2022-11-29,2.1341236332806934,Room 105,39,41,Beginner,Explain improve recently into guy stock.,Google Colab,Discussion,Yes,Data Science,Junior,37
Cloud Computing: Innovate Extensible Roi,6.6,Michael Wilson,S4178,Statistical Analysis,2023-10-07,2.547415927309909,Room 101,25,14,Beginner,Very system least.,Google Colab,Lecture,Yes,Data Science,Junior,12
Ai Ethics: Deploy Turn-Key E-Commerce,5.4,John Johnson,S1284,Cloud Computing,2023-04-06,2.6919492664924287,Room 104,99,85,Intermediate,Could future soon resource bed protect.,Zoom,Hands-On,Yes,Computer Science,Sophomore,56
Ai Ethics: Iterate End-To-End Technologies,5.4,Robert Jones,S6105,Deep Learning,2022-11-12,2.6631183837491994,Room 103,35,46,Beginner,Television finally decade.,Teams,Discussion,Yes,Computer Science,Senior,32
Data Visualization: Synergize Cross-Platform E-Markets,7.6,Emma Miller,S2182,Python Programming,2022-11-21,2.806739115414886,Room 105,20,83,Intermediate,One thing professor seat perhaps.,Zoom,Hands-On,Yes,Computer Science,Senior,20
Ai Ethics: Re-Intermediate Bricks-And-Clicks Action-Items,5.6,Robert Miller,S4277,Machine Learning,2023-08-07,2.3473805972854955,Room 102,12,15,Advanced,Time a senior.,Zoom,Hands-On,No,Data Science,Senior,8
Cloud Computing: Engage Interactive E-Commerce,8.3,Emily Johnson,S3831,AI Ethics,2023-06-29,1.153117402698128,Room 101,26,20,Advanced,West the black detail he social environmental.,Google Colab,Hands-On,Yes,Statistics,Senior,25
Ai Ethics: Drive Wireless Markets,6.2,Lisa Johnson,S2494,Python Programming,2023-10-10,1.0078265978260879,Room 105,68,69,Intermediate,Visit between must decide partner it never.,Jupyter,Discussion,Yes,Data Science,Senior,67
Data Science: Facilitate Best-Of-Breed Vortals,7.8,Olivia Wilson,S4976,Data Visualization,2023-09-05,2.546352984200216,Room 103,49,28,Advanced,High baby offer individual minute teach.,Zoom,Discussion,Yes,Statistics,Junior,46
Statistical Analysis: Syndicate Magnetic Models,8.0,Lisa Williams,S4296,Deep Learning,2022-11-21,2.5710669192960953,Room 102,74,64,Beginner,Sing within product hot nice organization mother.,Teams,Discussion,No,Statistics,Junior,50
Cloud Computing: Cultivate Scalable Portals,8.2,Lisa Davis,S1249,Data Science,2023-02-23,2.046976256730775,Online-Zoom,26,98,Beginner,Arm detail cup space leg challenge human.,Zoom,Hands-On,No,Engineering,Sophomore,18
Data Science: Orchestrate Efficient E-Markets,6.0,David Davis,S1496,Statistical Analysis,2022-10-30,2.0412884399449185,Room 102,57,52,Intermediate,Sure sometimes week worry agency positive spring.,Jupyter,Discussion,Yes,Data Science,Sophomore,33
Deep Learning: Whiteboard Compelling Solutions,6.6,Lisa Johnson,S1448,AI Ethics,2023-05-20,2.865715559121899,Room 105,88,46,Intermediate,You six sort sea realize training.,Zoom,Lecture,No,Mathematics,Sophomore,56
